Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 1/2/3/4 QuickBird, recently,2009,6,single,70,1,4,280,25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3, recently,2009,6,single,70,1,8,280,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3
** delivered at 50- cm / 2-m also", recently,2012,1,single,70,4,0,0,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3
** delivered at 50- cm / 2-m also", recently,2012,1,single,70,1,4,280,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROS B, recently,2006,0.4,single,70,1,0,0,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2, recently,2006,0.3,single,75,4,0,0,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2, recently,2006,0.3,single,100,1,4,400,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-2, recently,2014,1.5,single,80,1,0,0,25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-2, recently,2014,1.5,single,80,1,4,320,25,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TripleSat (BJ2), recently,2019,0.8,single,80,1,4,320,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1 Daytime, recently,2015,0.5,single,85,1,4,350,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeLEOS-1, recently,2015,0.8,single,100,1,0,0,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-1, recently,2014,0.7,single,100,1,4,400,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2, recently,2006,0.6,single,100,4,0,0,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-2, recently,2006,0.6,single,100,1,4,400,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7, recently,2012,2,single,150,4,0,0,25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7, recently,2012,2,single,150,1,4,600,100,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSAT-5, recently,2016,1,single,200,1,0,0,100,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSAT-5, recently,2016,1,single,0,0,4,400,200,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-1, recently,2013,0.8,single,200,1,0,0,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaoFen-1, recently,2013,0.8,single,200,1,4,800,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EROS A, recently,2001,0.4,single,200,1,0,0,375,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3, recently,2013,0.8,single,210,1,0,0,500,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZiYuan-3, recently,2013,0.8,single,210,1,4,580,500,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlanetScope, recently,2017,0.003,single,0,0,4,300,250,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT 6/7, recently,2012,2,single,0,0,4,600,100,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-2, recently,2017,0.7,single,0,0,5,6.5,500,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHS, recently,2010,1,single,0,0,32,10,2500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Stereo, recently,2010,1.2,stereo,30,6,0,0,25,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Stereo, recently,2010,1.2,stereo,30,1,4,120,25,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Tri-Stereo, recently,2010,1.2,tri-stereo,30,6,0,0,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades Neo Tri-Stereo, recently,2010,1.2,tri-stereo,30,1,4,120,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4, recently,2014,6,stereo,30,1,0,0,100,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4, recently,2014,6,stereo,30,4,0,0,100,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 3/4, recently,2014,6,stereo,30,1,4,120,100,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-3, recently,2014,6,stereo,30,1,8,120,100,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
